UNITID,OPEID,opeid6,INSTNM,CITY,STABBR,INSTURL,NPCURL,LOCALE
124706,853700,8537,Concorde Career College-San Bernardino,San Bernardino,CA,www.concorde.edu,www.concorde.edu,12
124779,1244600,12446,Universal College of Beauty Inc-Los Angeles 1,Los Angeles,CA,Universalcollegeofbeautyinc.com,Universalcollegeofbeautyinc.com,21
124937,760700,7607,Concorde Career College-North Hollywood,North Hollywood,CA,www.concorde.edu,www.concorde.edu/,11
125028,133400,1334,Ventura College,Ventura,CA,www.venturacollege.edu/,www.venturacollege.edu/departments/student_services/financial_aid/index.shtml,12
125082,2128200,21282,Victor Valley Beauty College Inc,Victorville,CA,www.victorvalleybeautycollege.com,www.victorvalleybeautycollege.com,12
125091,133500,1335,Victor Valley College,Victorville,CA,www.vvc.edu,webprod.cccco.edu/npc/991/npcalc.htm,12
125170,2242700,22427,Berkeley City College,Berkeley,CA,www.berkeleycitycollege.edu/wp/,webprod.cccco.edu/npc/345/npcalc.htm,12
125231,2504200,25042,Walden University,Minneapolis,MN,www.waldenu.edu,www.waldenu.edu/Tuition-and-Financial-Aid/NetPriceCalculator.htm,11
125310,2061600,20616,Waynes College of Beauty,Salinas,CA,www.waynescollegeofbeauty.com,www.waynescollegeofbeauty.com,12
125462,117600,1176,West Hills College-Coalinga,Coalinga,CA,www.westhillscollege.com,www.westhillscollege.com,32
125471,859600,8596,West Los Angeles College,Culver City,CA,www.wlac.edu,testsite.cccco.edu/npc/749/npcalc.htm,21
125499,133800,1338,West Valley College,Saratoga,CA,www.westvalley.edu,webprod.cccco.edu/npc/493/npcalc.htm,21
125532,974800,9748,Carrington College California-Sacramento,Sacramento,CA,www.carrington.edu,carrington.edu/financial-aid/net-price-calculator/carrington-college-california/,21
125718,2276800,22768,Westminster Theological Seminary in California,Escondido,CA,www.wscal.edu,www.wscal.edu,21
125727,134100,1341,Westmont College,Santa Barbara,CA,www.westmont.edu,www.westmont.edu/admissions/npc.html,22
125763,134200,1342,Whittier College,Whittier,CA,WWW.whittier.edu,web.whittier.edu/AdmissionAndAid/Tuition/NPC.aspx,21
125897,134300,1343,Woodbury University,Burbank,CA,woodbury.edu/,npc.collegeboard.org/student/app/woodbury,11
126012,884600,8846,The Wright Institute,Berkeley,CA,www.wi.edu,NULL,12
126030,2179937,21799,Western State College of Law at Argosy University,Fullerton,CA,www.wsulaw.edu,tcc.noellevitz.com/edmc/Argosy%20University?iframe=true&width600&height=1000,21
126049,1085400,10854,Thomas Jefferson School of Law,San Diego,CA,www.tjsl.edu,NULL,11
126076,2262400,22624,Yeshiva Ohr Elchonon Chabad West Coast Talmudical Seminary,Los Angeles,CA,www.yoec.edu/,sites.google.com/site/yeshivaohrelchononchabad/,11
126119,134400,1344,Yuba College,Marysville,CA,yc.yccd.edu,yc.yccd.edu/student/financial-aid-calc.aspx,22
126164,2165200,21652,The Salon Professional Academy-Grand Junction,Grand Junction,CO,GrandJunctionBeautySchool.com,GrandJunctionBeautySchool.com,13
126182,134500,1345,Adams State University,Alamosa,CO,www.adams.edu,www.adams.edu/finaid/costs-to-attend.php,33
126207,758200,7582,Aims Community College,Greeley,CO,www.aims.edu,www.aims.edu/student/finaid/net-price-calculator/,13
126289,134600,1346,Arapahoe Community College,Littleton,CO,www.arapahoe.edu,www.arapahoe.edu/netpricecalculator/npcalc.htm,21
126359,1267000,12670,Bel-Rea Institute of Animal Technology,Denver,CO,www.bel-rea.com,www.bel-rea.com/?q=degreeProgram,11
126401,450300,4503,Everest College-Colorado Springs,Colorado Springs,CO,www.everest.edu/campus/colorado_springs,www.Everest.edu/npc,11
126562,450800,4508,University of Colorado Denver,Denver,CO,www.ucdenver.edu/,www.ucdenver.edu/student-services/resources/CostsAndFinancing/Pages/Net-Price-Calculator.aspx,11
126580,450900,4509,University of Colorado Colorado Springs,Colorado Springs,CO,www.uccs.edu,www.uccs.edu/ir/standard-reports/net-price-calculators.html,11
126605,729700,7297,Redstone College,Broomfield,CO,www.redstone.edu,ccc.redstone.edu,13
126614,137000,1370,University of Colorado Boulder,Boulder,CO,www.colorado.edu,www.collegeportraits.org/CO/CU-Boulder/estimator/agree,13
126669,940100,9401,Colorado Christian University,Lakewood,CO,WWW.CCU.EDU,www.ccu.edu/finaid/calculator/,12
126678,134700,1347,Colorado College,Colorado Springs,CO,www.coloradocollege.edu,npc.collegeboard.org/student/app/coloradocollege,11
126687,887100,8871,Concorde Career College-Aurora,Aurora,CO,www.concorde.edu,www.concorde.edu/,11
126702,2078900,20789,The Art Institute of Colorado,Denver,CO,www.artinstitutes.edu/denver/,tcc.noellevitz.com/edmc/Freshman-Students?iframe=true&width=600&height=1000,11
126711,450600,4506,Colorado Mountain College,Glenwood Springs,CO,www.coloradomtn.edu,www.coloradomtn.edu/web/admissions/tuition_costs,33
126748,135900,1359,Colorado Northwestern Community College,Rangely,CO,www.cncc.edu,www.cncc.edu/NetPrice/npcalc.html,43
126775,134800,1348,Colorado School of Mines,Golden,CO,www.mines.edu,inside.mines.edu/npc/npcalc.htm,21
126784,1157200,11572,Colorado School of Trades,Lakewood,CO,schooloftrades.edu,www.schooloftrades.edu/course-descriptions.php,12
126818,135000,1350,Colorado State University-Fort Collins,Fort Collins,CO,www.colostate.edu,tuition.colostate.edu/Main.aspx,12
126827,1014800,10148,Colorado Technical University-Colorado Springs,Colorado Springs,CO,www.coloradotech.edu/Colorado-Springs,coloradotech.studentaidcalculator.com,11
12682701,1014815,10148,Colorado Technical University,Pueblo,CO,http://www.coloradotech.edu/Pueblo,NULL,NULL
126854,966407,9664,Empire Beauty School-Lakewood,Lakewood,CO,www.empire.edu,www.empire.edu/net-price-calculator,12
126863,2276900,22769,Community College of Aurora,Aurora,CO,www.ccaurora.edu,www.ccaurora.edu/gainful-employment,11
126872,2594300,25943,College America-Denver,Denver,CO,www.collegeamerica.edu,collegeamerica.studentaidcalculator.com,11
126915,2156200,21562,Delta Montrose Technical College,Delta,CO,www.dmtc.edu,dmtc.edu,41
126924,2296004,22960,Prince Institute-Rocky Mountains,Westminster,CO,www.princeinstitute.edu,www.princeinstitute.edu,21
126942,954200,9542,Community College of Denver,Denver,CO,www.ccd.edu,catalog.ccd.edu/calculator/,11
126951,793806,7938,Lincoln College of Technology-Denver,Denver,CO,www.lincolnedu.com,www.lincolnedu.com/net-price-calculator,11
126979,135200,1352,Denver Seminary,Littleton,CO,www.denverseminary.edu,www.denverseminary.edu/become-a-student/financial-aid/financial-aid-calculator/,21
127024,754800,7548,Westwood College-Denver North,Denver,CO,www.westwood.edu,ccc.westwood.edu,21
127060,137100,1371,University of Denver,Denver,CO,www.du.edu,www.du.edu/financialaid/undergraduate/calculator/index.html,11
127158,559600,5596,Emily Griffith Technical College,Denver,CO,www.emilygriffith.edu,www.emilygriffith.edu/net-price-calculator,11
127185,135300,1353,Fort Lewis College,Durango,CO,fortlewis.edu/,www.fortlewis.edu/home/Cost.aspx,33
127200,793300,7933,Front Range Community College,Westminster,CO,www.frontrange.edu,www.frontrange.edu/npc/,21
127219,2267500,22675,Glenwood Beauty Academy,Glenwood Springs,CO,glenwoodbeautyacademy.org,www.glenwoodbeautyacademy.org,33
127228,2518500,25185,Hair Dynamics Education Center,Fort Collins,CO,www.hairdynamics.com,www.hairdynamics.com,12
127273,135400,1354,Iliff School of Theology,Denver,CO,www.iliff.edu,NULL,11
127316,1285000,12850,International Salon and Spa Academy,Colorado Springs,CO,www.issaco.edu,www.issaco.edu,11
127389,135500,1355,Lamar Community College,Lamar,CO,www.lamarcc.edu,www.lamarcc.edu/admission/paying-for-college/net-price-calculator/,33
127556,135800,1358,Colorado Mesa University,Grand Junction,CO,www.coloradomesa.edu,www.coloradomesa.edu/finaid/finaidest.html,13
127565,136000,1360,Metropolitan State University of Denver,Denver,CO,www.msudenver.edu/,www.collegeportraits.org/CO/Metro-State/estimator/agree,11
127617,998100,9981,Morgan Community College,Fort Morgan,CO,www.morgancc.edu,www.morgancc.edu/npc/npcalc.htm,33
127653,2117500,21175,Naropa University,Boulder,CO,www.naropa.edu,www.naropa.edu/costs-aid/costs/undergraduate-costs/cost-calculator.php,13
127680,405702,4057,National American University-Colorado Springs,Colorado Springs,CO,www.national.edu/locations/colorado/colorado-springs,www.national.edu/net_price_calculator,11
127699,405703,4057,National American University-Denver,Denver,CO,www.national.edu/locations/colorado/denver,www.national.edu/net_price_calculator,11
127714,1300700,13007,Nazarene Bible College,Colorado Springs,CO,www.nbc.edu,www.nbc.edu/core/includes/net-price-calculator/npcalc.htm,11
127732,136100,1361,Northeastern Junior College,Sterling,CO,www.njc.edu,www.njc.edu/Admissions-and-Financial-Aid/Cost-to-Attend,33
127741,134900,1349,University of Northern Colorado,Greeley,CO,www.unco.edu,www.unco.edu/ofa/netpricecalc/,13
127778,136200,1362,Otero Junior College,La Junta,CO,WWW.OJC.EDU,www.ojc.edu/tuition.aspx,33
127787,450700,4507,Everest College-Thornton,Thornton,CO,www.everest.edu/campus/thornton,www.Everest.edu/npc,21
127820,889600,8896,Pikes Peak Community College,Colorado Springs,CO,www.ppcc.edu,www.ppcc.edu/paying-for-college/tuition-calculator/,21
127839,863500,8635,Intellitec Medical Institute,Colorado Springs,CO,www.intellitecmedical.edu/,www.intellitecmedical.edu/net-price-calculators,11
127884,2116300,21163,Pueblo Community College,Pueblo,CO,www.pueblocc.edu,www.pueblocc.edu/cmsinternet/xml/CodeBaby/FA/npcalc.htm,12
127909,954300,9543,Red Rocks Community College,Lakewood,CO,www.rrcc.edu,www.rrcc.edu/net_price_calculator/npcalc.htm,12
127918,136300,1363,Regis University,Denver,CO,www.regis.edu/,www.regis.edu/RC/Financial-Aid/Applying-for-Aid/Net-Price-Calculator.aspx,11
127945,764900,7649,Rocky Mountain College of Art and Design,Lakewood,CO,www.rmcad.edu,www.rmcad.edu/student-information,12
127954,3306300,33063,Montessori Education Center of the Rockies,Boulder,CO,www.mecr.edu,www.mecr.edu,13
128106,136500,1365,Colorado State University-Pueblo,Pueblo,CO,www.colostate-pueblo.edu,www.colostate-pueblo.edu/ir,12
128151,1287500,12875,Pickens Technical College,Aurora,CO,www.pickenstech.org,www.pickenstech.org,11
128179,2253700,22537,Intellitec College-Colorado Springs,Colorado Springs,CO,www.IntelliTecCollege.edu,www.IntelliTecCollege.edu,11
128188,3066900,30669,Intellitec College-Grand Junction,Grand Junction,CO,www.intellitec.edu,www.intellitec.edu,13
128258,136800,1368,Trinidad State Junior College,Trinidad,CO,www.trinidadstate.edu/,www.trinidadstate.edu/academics/programs/net-price-calculator,33
128337,757306,7573,Empire Beauty School-Thornton,Thornton,CO,www.empire.edu,www.empire.edu/net-price-calculator,21
128391,137200,1372,Western State Colorado University,Gunnison,CO,www.western.edu,admissions.western.edu/financial-aid/net-price-calculator.html,33
128498,137400,1374,Albertus Magnus College,New Haven,CT,www.albertus.edu,www.albertus.edu/bachelors-degrees/tuition-financial-aid/net-price-calculator.html,12
128540,887300,8873,Paul Mitchell the School-Danbury,Danbury,CT,danbury.paulmitchell.edu,danbury.paulmitchell.edu/programs/finance-options,13
128577,1115000,11150,Asnuntuck Community College,Enfield,CT,www.Asnuntuck.edu,www.commnet.edu/finaid/netprice/m_npcalc.htm,21
128674,2074000,20740,Branford Hall Career Institute-Branford Campus,Branford,CT,www.branfordhall.edu,schooliya.com/PEG/branford/netpricecalc.html,21
128683,940700,9407,Lincoln College of New England-Southington,Southington,CT,www.lincolncollegene.edu,www.lincolnedu.com/net-price-calculator,21
128726,618100,6181,Bridgeport Hospital School of Nursing,Bridgeport,CT,www.bridgeporthospital.org/bhsn/,www2.bridgeporthospital.org/bhsn/current/ConsumerInformation/default.aspx#,12
128744,141600,1416,University of Bridgeport,Bridgeport,CT,www.bridgeport.edu,tcc.noellevitz.com/%28S%28kan00jgbfpuueimtkq0hgata%29%29/University%20of%20Bridgeport/cost,12
128771,137800,1378,Central Connecticut State University,New Britain,CT,www.ccsu.edu,web.ccsu.edu/npcalc/,21
128780,3234300,32343,Charter Oak State College,New Britain,CT,www.charteroak.edu,www.charteroak.edu/netcost,21
128896,2316600,23166,Connecticut Center for Massage Therapy-Newington,Newington,CT,www.ccmt.edu/programs.html,www.ccmt.edu/npcalc_ccmt.htm,21
128902,137900,1379,Connecticut College,New London,CT,www.connecticutcollege.edu,conncoll.studentaidcalculator.com/survey.aspx,13
128957,1041700,10417,Marinello Schools of Beauty-East Hartford,East Hartford,CT,www.marinello.com,www.marinello.com,13
129002,730500,7305,Porter and Chester Institute of Branford,Branford,CT,www.porterchester.com,www.porterchester.com/calculator.html,21
129020,141700,1417,University of Connecticut,Storrs,CT,uconn.edu/,financialaid.uconn.edu/pricecalc/storrs/,21
129154,2244900,22449,Goodwin College,East Hartford,CT,www.goodwin.edu,www.goodwin.edu/institutional_effectiveness/pdfs/FinAid_NetPrice.pdf,13
129181,730306,7303,Lincoln Technical Institute-East Windsor,East Windsor,CT,www.lincolntech.com,www.lincolnedu.com/net-price-calculator,41
129215,142500,1425,Eastern Connecticut State University,Willimantic,CT,www.easternct.edu/,www.easternct.edu/finaid/netPriceCalculator.html,31
129242,138500,1385,Fairfield University,Fairfield,CT,fairfield.edu/,www.fairfield.edu/admission/uga_netpricecalc.html,21
129349,2112700,21127,Northhaven Academy,North Haven,CT,northhaven.paulmitchell.edu,northhaven.paulmitchell.edu/programs/finance-options,21
129367,763500,7635,Capital Community College,Hartford,CT,www.ccc.commnet.edu,www.ccc.commnet.edu/financialAid.htm,12
129428,280301,2803,Rensselaer Hartford Graduate Center Inc,Hartford,CT,ewp.rpi.edu/index.html,www.rpi.edu/npc/,12
129482,2106600,21066,Fox Institute of Business-West Hartford,West Hartford,CT,americaninstitute.edu,americaninstitute.com/locations/west-hartford-connecticut,13
129491,138700,1387,Hartford Seminary,Hartford,CT,www.hartsem.edu,NULL,12
129525,142200,1422,University of Hartford,West Hartford,CT,www.hartford.edu,hartford.studentaidcalculator.com/,12
129534,138900,1389,Holy Apostles College and Seminary,Cromwell,CT,www.holyapostles.edu,www.holyapostles.edu/admissions/tuition-financial-aid/consumer-information/net-price-calc,21
129543,451300,4513,Housatonic Community College,Bridgeport,CT,www.hcc.commnet.edu,www.hcc.commnet.edu,12
129613,1287700,12877,Sanford-Brown College-Farmington,Farmington,CT,www.sanfordbrown.edu,www.sanfordbrown.edu/Tuition-And-Financial-Aid/Financial-Aid-Tools/Net-Price-Calculator,21
129686,3079400,30794,Lyme Academy College of Fine Arts,Old Lyme,CT,www.lymeacademy.edu,lymeacademy.edu/NetPriceCalculator/,22
129695,139200,1392,Manchester Community College,Manchester,CT,www.mcc.commnet.edu/,www.mcc.commnet.edu/,21
129729,698200,6982,Naugatuck Valley Community College,Waterbury,CT,www.nv.edu,www.commnet.edu/finaid/netprice/h_npcalc.htm,22
129756,803800,8038,Middlesex Community College,Middletown,CT,www.mxcc.commnet.edu,www.commnet.edu/finaid/netprice/f_npcalc.htm,13
129774,139300,1393,Mitchell College,New London,CT,www.mitchell.edu,community.mitchell.edu/CostCalculator,13
129808,976500,9765,Three Rivers Community College,Norwich,CT,www.trcc.commnet.edu,www.trcc.commnet.edu/Div_StudentServices/FinancialAid/Cost.shtml,13
129923,730300,7303,Lincoln Technical Institute-New Britain,New Britain,CT,www.lincolnedu.com,www.lincolnedu.com/net-price-calculator,21
129932,2202500,22025,New England Tractor Trailer Training School of Connecticut,Somers,CT,WWW.NETTTS.COM,www.nettts.com/nettts-consumer-info.html,21
129941,139700,1397,University of New Haven,West Haven,CT,www.newhaven.edu,newhaven.studentaidcalculator.com/survey.aspx,21
129969,2112300,21123,Ridley-Lowell Business & Technical Institute-New London,New London,CT,www.ridley.edu,www.ridley.edu,13
130004,139900,1399,Norwalk Community College,Norwalk,CT,www.ncc.commnet.edu,www.ncc.commnet.edu/dept/financialaid/netpricecalc.asp,13
130040,139800,1398,Northwestern Connecticut Community College,Winsted,CT,www.nwcc.commnet.edu,www.nwcc.edu/faservices.htm#Net_Price_Calculator,31
130110,745900,7459,Paier College of Art Inc,Hamden,CT,www.paiercollegeofart.edu,www.paiercollegeofart.edu,21
130129,887400,8874,Marinello Schools of Beauty-Meriden,Meriden,CT,www.marinello.com,www.marinello.com,21
13012901,887401,8874,Marinello School of Beauty-Hamden,Hamden,CT,http://www.marinello.com,NULL,NULL
13012902,887402,8874,Marinello School of Beauty-Fairfield,Fairfield,CT,http://www.marinello.com,NULL,NULL
13012903,887403,8874,Marinello School of Beauty-Willimantic,Willimantic,CT,http://www.marinello.com,NULL,NULL
130174,1077900,10779,Porter and Chester Institute of Stratford,Stratford,CT,www.porterchester.com,porterchester.com/calculator.html,13
13017401,1077910,10779,Porter and Chester Institute of Rocky Hill,Rocky Hill,CT,http://www.porterchester.com,NULL,NULL
13017402,1077903,10779,Porter and Chester Institute of Enfield,Enfield,CT,http://www.porterchester.com,NULL,NULL
13017403,1077902,10779,Porter and Chester Institute of Watertown,Watertown,CT,http://www.porterchester.com,NULL,NULL
13017404,1077905,10779,Porter and Chester Institute of Chicopee,Chicopee,MA,http://www.porterchester.com,NULL,NULL
13017405,1077906,10779,Porter and Chester Institute of Westborough,Westborough,MA,http://www.porterchester.com,NULL,NULL
13017406,1077914,10779,Porter and Chester Institute of Canton,Canton,MA,http://www.porterchester.com,NULL,NULL
13017407,1077916,10779,Porter and Chester Institute of Woburn,Woburn,MA,http://www.porterchester.com,NULL,NULL
130183,140100,1401,Post University,Waterbury,CT,www.post.edu/,www.post.edu/maincampus/npc.shtml,22
130217,1053000,10530,Quinebaug Valley Community College,Danielson,CT,www.qvcc.edu,www.commnet.edu/finaid/netprice/l_npcalc.htm,21
130226,140200,1402,Quinnipiac University,Hamden,CT,www.quinnipiac.edu,quinnipiac.studentaidcalculator.com/welcome.aspx,21
130253,140300,1403,Sacred Heart University,Fairfield,CT,www.sacredheart.edu,www.sacredheart.edu/admissions/financialassistance/netpricecalculator,21
130314,140900,1409,University of Saint Joseph,West Hartford,CT,www.usj.edu,www.usj.edu/calculator,13
130396,803700,8037,Gateway Community College,New Haven,CT,www.gwcc.commnet.edu/,www.commnet.edu/finaid/netprice/npcalc.htm?coll=I,12
130448,619100,6191,St Vincent's College,Bridgeport,CT,www.stvincentscollege.edu,npc.collegeboard.org/student/app/stvincentscollege,12
130493,140600,1406,Southern Connecticut State University,New Haven,CT,www.southernct.edu,www.southernct.edu/netpricecalculator/npcalc.htm,12
130509,1242500,12425,Stone Academy-Hamden,West Haven,CT,www.stoneacademy.com,NULL,21
130581,2546000,25460,Tri-State College of Acupuncture,New York,NY,www.TSCA.edu,www.tsca.edu,11
130590,141400,1414,Trinity College,Hartford,CT,www.Trincoll.edu,www.trincoll.edu/depts/finaid/EFCCalculator/trinityStart.html,12
130606,976400,9764,Tunxis Community College,Farmington,CT,www.tunxis.edu,www.commnet.edu/finaid/netprice/npcalc.htm?coll=J,21
130697,142400,1424,Wesleyan University,Middletown,CT,www.wesleyan.edu,wesleyan.studentaidcalculator.com/survey.aspx,13
130776,138000,1380,Western Connecticut State University,Danbury,CT,www.wcsu.edu,www.wcsu.edu/admissions/netprice.asp,13
130785,2296100,22961,Yale-New Haven Hospital Dietetic Internship,New Haven,CT,www.ynhh.org,www.ynhh.org,12
130794,142600,1426,Yale University,New Haven,CT,www.yale.edu,admissions.yale.edu/yale-net-price-calculator,12
130837,2125200,21252,Beebe Medical Center Margaret H Rollins School of Nursing,Lewes,DE,www.beebeschoolofnursing.org,www.beebeschoolofnursing.org,32
130873,3025800,30258,Dawn Career Institute Inc,Wilmington,DE,www.dawncareerinstitute.edu,www.dawncareerinstitute.edu,21
130891,705300,7053,Delaware Technical Community College-Owens,Georgetown,DE,https://www.dtcc.edu/our-campuses/georgetown,www.dtcc.edu/admissions-financial-aid/tuition-fees/net-price-calculator,31
130907,1172700,11727,Delaware Technical Community College-Terry,Dover,DE,https://www.dtcc.edu/our-campuses/dover,www.dtcc.edu/admissions-financial-aid/tuition-fees/net-price-calculator,13
130916,2144900,21449,Delaware Technical Community College-Stanton/Wilmington,Wilmington,DE,https://www.dtcc.edu/our-campuses/wilmington,www.dtcc.edu/admissions-financial-aid/tuition-fees/net-price-calculator,13
130934,142800,1428,Delaware State University,Dover,DE,www.desu.edu,www.desu.edu/npc,13
130943,143100,1431,University of Delaware,Newark,DE,www.udel.edu/,www.udel.edu/npc/,21
130989,142900,1429,Goldey-Beacom College,Wilmington,DE,www.gbc.edu,campusweb.gbc.edu/ICS/Admissions/Admissions_Homepage.jnz?portlet=Net_Price_Calculator,21
131061,2190400,21904,Schilling-Douglas School of Hair Design,Newark,DE,schillingdouglas.com/,www.schillingdouglas.com/calculator/netprice.htm,21
131098,143300,1433,Wesley College,Dover,DE,www.wesley.edu,www.wesley.edu/prospective-students/financialaid/tuition-related-costs/net-price-calculator.html,13
131113,794800,7948,Wilmington University,New Castle,DE,www.wilmu.edu,npc.collegeboard.org/student/app/wilmu,21
131159,143400,1434,American University,Washington,DC,WWW.AMERICAN.EDU,www.american.edu/financialaid/Net-Price-Calculator-Form.cfm,11
131283,143700,1437,Catholic University of America,Washington,DC,www.cua.edu,admissions.cua.edu/undergrad/finaid/NetPriceCalculator/calculator.html,11
131308,1195000,11950,Corcoran College of Art and Design,Washington,DC,www.corcoran.edu,www.corcoran.edu/admissions/tuition-fees/tuition-fees-undergraduate-degree-programs,11
131399,144100,1441,University of the District of Columbia,Washington,DC,www.udc.edu,www.udc.edu/financial_aid/net_price_calculator,11
131405,1280300,12803,Pontifical Faculty of the Immaculate Conception at the Dominican House of Studies,Washington,DC,www.dhs.edu/,studentaid.ed.gov/repay-loans/understand/plans/standard/comparison-calculator,11
131450,144300,1443,Gallaudet University,Washington,DC,www.gallaudet.edu,admissions.gallaudet.edu/Financial_info/NetPrice/npcalc.htm,11
131469,144400,1444,George Washington University,Washington,DC,www.gwu.edu,undergraduate.admissions.gwu.edu/net-price-calculator,11
131496,144500,1445,Georgetown University,Washington,DC,www.georgetown.edu,finaid.georgetown.edu/net-price-calc,11
131520,144800,1448,Howard University,Washington,DC,www.howard.edu,www.howard.edu/financialaid/netprice/npcalc.htm,11
131742,2588900,25889,Medtech Institute,Falls Church,VA,medtech.edu,www.medtech.edu/financial-services/net-price-calculator,21
131803,145900,1459,Strayer University-District of Columbia,Washington,DC,www.strayer.edu/district-columbia/washington,npc.collegeboard.org/student/app/strayeruniversity,11
13180301,145904,1459,Strayer University-Takoma Park Campus,Washington,DC,http://www.strayer.edu/district-columbia/takoma-park,NULL,NULL
131830,2132800,21328,National Conservatory of Dramatic Arts,Washington,DC,www.theconservatory.org,www.theconservatory.org/net_price_calculator.html,11
131876,146000,1460,Trinity Washington University,Washington,DC,www.trinitydc.edu,www.trinitydc.edu/enrollment/trinity-is-affordable/,11
131973,146400,1464,Wesley Theological Seminary,Washington,DC,www.wesleyseminary.edu/,www.wesleyseminary.edu/financialaid,11
132268,2346200,23462,Wyotech-Daytona,Ormond Beach,FL,www.wyotech.com,www.Wyotech.edu/npc,41
132338,1019500,10195,The Art Institute of Fort Lauderdale,Fort Lauderdale,FL,www.aifl.edu,tcc.noellevitz.com/edmc/Freshman-Students?iframe=true&width=600&height=1000,12
132374,1226300,12263,Atlantic Technical Center,Coconut Creek,FL,www.atlantictechcenter.com,www.atlantictechcenter.com/ATCStudents/FinancialAid/NetPriceCalculator/tabid/904/language/en-US/Default.aspx,21
132408,2159600,21596,The Baptist College of Florida,Graceville,FL,www.baptistcollege.edu,www.baptistcollege.edu/finances/npcalc.asp,32
132471,146600,1466,Barry University,Miami,FL,www.barry.edu,www.barry.edu/netpricecalculator/default.htm,21
13247101,146601,1466,Barry University Law School,Orlando,FL,http://weblaw.barry.edu/,NULL,NULL
132523,1112700,11127,Gooding Institute of Nurse Anesthesia,Panama City,FL,www.baymedical.org,www.baymedical.org,13
132602,146700,1467,Bethune-Cookman University,Daytona Beach,FL,www.cookman.edu,www.cookman.edu/NetPriceCalculator/npcalc.htm,13
132657,150500,1505,Lynn University,Boca Raton,FL,www.lynn.edu,www.lynn.edu/admissions/cost-and-aid/costs/day-undergraduate,13
132666,2200100,22001,GUTI The Premier Beauty & Wellness Academy,Bradenton,FL,www.mybeautyacademy.com,www.mybeautyacademy.com,13
132675,3382300,33823,Bradford-Union Technical Center,Starke,FL,www.butc.edu,bradfordcareertech.com/Financial-Aid-and-Fees.html,32
132693,147000,1470,Eastern Florida State College,Cocoa,FL,www.easternflorida.edu,www.easternflorida.edu/admissions/financial-aid-scholarships/financial-aid-information/npcalc-iframe.cfm,21
132709,150000,1500,Broward College,Fort Lauderdale,FL,www.broward.edu,www.broward.edu/financialaid/Pages/Net-Price-Calculator.aspx,21
132806,2245500,22455,Fortis College-Winter Park,Winter Park,FL,www.fortis.edu,www.fortisedu.info/,21
132842,1072401,10724,Carlos Albizu University-Miami,Miami,FL,www.mia.albizu.edu,mia.albizu.edu/web/academic_programs/tuition_and_fees.asp,21
132851,147100,1471,College of Central Florida,Ocala,FL,www.cf.edu,mycf.cf.edu/ics/clientconfig/HtmlContent/npcalc.htm,13
132879,2156700,21567,Johnson University Florida,Kissimmee,FL,www.fcc.edu,npc.collegeboard.org/student/app/fcc,21
132903,395400,3954,University of Central Florida,Orlando,FL,www.ucf.edu/,finaid.ucf.edu/NetPriceCalculator/,21
132976,2297000,22970,Charlotte Technical Center,Port Charlotte,FL,www.yourcharlotteschools.net/ctc,www.yourcharlotteschools.net/ctc,22
133021,147200,1472,Chipola College,Marianna,FL,www.chipola.edu,www.chipola.edu/financialaid/NetPriceCalculator/npcalc.htm,32
133085,147300,1473,Clearwater Christian College,Clearwater,FL,www.clearwater.edu,www.clearwater.edu/financialaid/estimator.asp,12
133155,1323400,13234,Lorenzo Walker Institute of Technology,Naples,FL,lwit.edu,lwit.edu,21
133386,147500,1475,Daytona State College,Daytona Beach,FL,www.DaytonaState.edu,www.daytonastate.edu/finaid/calculator.html,13
133465,1303904,13039,South University-West Palm Beach,Royal Palm Beach,FL,www.southuniversity.edu,tcc.noellevitz.com/edmc/Transfer-Students?iframe=true&width=600&height=1000,21
133492,148700,1487,Eckerd College,Saint Petersburg,FL,www.eckerd.edu,www.eckerd.edu/calculator,12
133508,147700,1477,Edison State College,Fort Myers,FL,www.edison.edu,www.edison.edu/financialaid/netprice/,21
133526,147800,1478,Edward Waters College,Jacksonville,FL,www.ewc.edu,www.ewc.edu/NetPrice/npcalc.htm,11
133553,147900,1479,Embry-Riddle Aeronautical University-Daytona Beach,Daytona Beach,FL,www.erau.edu,daytonabeach.erau.edu/financial-aid/calculator/index.html,13
133650,148000,1480,Florida Agricultural and Mechanical University,Tallahassee,FL,www.famu.edu,www.famu.edu/index.cfm?FinancialAid&EstimatingCost(NPC),12
133669,148100,1481,Florida Atlantic University,Boca Raton,FL,www.fau.edu/,www.fau.edu/admissions/npcalc.htm,13
133702,148400,1484,Florida State College at Jacksonville,Jacksonville,FL,www.fscj.edu,www.fscj.edu/net-price-calculator,11
133711,789300,7893,Flagler College-St Augustine,Saint Augustine,FL,www.flagler.edu,www.flagler.edu/admission-aid/financial-aid,23
133809,148200,1482,Florida College,Temple Terrace,FL,www.floridacollege.edu,www.floridacollege.edu,21
133845,2089600,20896,Concorde Career Institute-Jacksonville,Jacksonville,FL,www.concorde.edu,www.concorde.edu,11
133854,2275100,22751,Concorde Career Institute-Miramar,Miramar,FL,www.concorde.edu,www.concorde.edu/,21
133863,2172700,21727,Concorde Career Institute-Tampa,Tampa,FL,www.concorde.edu,www.concorde.edu/,11
133872,3115500,31155,Adventist University of Health Sciences,Orlando,FL,www.adu.edu,npc.collegeboard.org/student/app/fhchs,12
